	name	ores_score
190	Mehmet Tahsini	Stub
191	Ibrahim Temo	GA
192	Pavli Terka	Start
193	Afrim Tole	Stub
194	Sejfi Vllamasi	Start
195	Syrja Vlora	Start
196	Visarion Xhuvani	C
197	Visar Ymeri	Stub
198	Abdyl Ypi	Stub
199	Xhezair Zaganjori	Start
200	Menduh Zavalani	GA
201	Said Abadou	Stub
202	Tahar Allan	Stub
203	Mohamed Seghir Babes	Stub
204	Djelloul Baghli	Stub
205	Noureddine Bahbouh	Stub
206	Lamine Bechichi	Stub
207	Bakhti Belaïb	Stub
208	Mohamed Belouizdad	Start
209	Mourad Benachenou	Stub
210	Benaouda Hadj Hacène Bachterzi	Stub
211	Souad Bendjaballah	Stub
212	Mohammed Saleh Bendjelloul	Stub
213	Mohamed Bensalam	Stub
214	Said Boualam	Start
215	Abdeslam Bouchouareb	Stub
216	Brahim Chibout	Stub
217	Bouras Djamel	Stub
218	Ahmed Djebbar	Stub
219	Fatiha Serour	Start
220	Mohamed Hassaïne	C
221	Ibrahim Boughali	Stub
222	Abdenour Keramane	Stub
223	Abelkader Khamri	Stub
224	Mahmoud Khedri	Stub
225	Mohamed Laïchoubi	Stub
226	Sassi Lamouri	Stub
227	Mohamed Maghlaoui	Stub
228	Amar Makhloufi	Stub
229	Hacen Mefti	Stub
230	Mokhtar Meherzi	Stub
231	Mohamed Elias Mesli	Stub
232	Azzedine Mihoubi	Start
233	Cherif Rahmani	Stub
234	Naima Salhi	Stub
235	Guillem d'Areny-Plandolit	FA
236	Guillem Areny	Stub
237	Joan Armengol	Stub
238	Francesc Badia Batalla	Stub
239	Josep Maria Beal	Stub
240	Climent Palmitjavila	Stub
241	Antoni Puigdellívol	Start
242	Òscar Ribas Reig	C
243	Boris Skossyreff	GA
244	Enric Tarrado Vives	Stub
245	Alexandre Sebastião André	Stub
246	Isaac Maria dos Anjos	Stub
247	Paulino Baptista	Start
248	João Baptista Borges	Start
249	Branca Manuel Espirito Santo	Stub
250	André Luís Brandão	Stub
251	André Gaspar Mendes de Carvalho	Stub
252	Carolina Cerqueira	C
253	Arlete Chimbinda	Start
254	Kafundanga Chingunji	Stub
255	Jeremias Chitunda	Start
256	Abel Chivukuvuku	Start
257	Adalberto Costa Júnior	Stub
258	Adjany Costa	Start
259	Álvaro Arnaldo Craveiro	Stub
260	Raul Danda	Stub
261	Carlos António Fernandes	Stub
262	Fiel Domingos Constantino	Stub
263	Abraão Gourgel	Stub
264	Maria Monteiro Jardin	Stub
265	José da Rocha	Stub
266	Mateus de Brito Júnior	Stub
267	Kambamba Kulaxingo	Stub
268	Abel Xavier Nzuzi Lubota	Stub
269	David Mendes	Stub
270	Fernando Faustino Muteka	Stub
271	José Ndele	Stub
272	Daniel Ntongi-Nzinga	Stub
273	Pedro Tonho Pedale	Stub
274	Elias Salupeto Pena	Stub
275	Pinda Simão	Stub
276	Johnny Eduardo Pinnock	Stub
277	Santana André Pitra	Stub
278	José Aníbal Lopes Rocha	Stub
279	Luís Gomes Sambo	Start
280	José Filomeno dos Santos	Start
281	Jonas Savimbi	C
282	Manuel Bernardo de Sousa	Stub
283	Augusto da Silva Tomás	Stub
284	Luzia Inglês Van-Dúnem	Start
285	Manuel Vicente	C
286	Mfulupinga Nlando Victor	Start
287	Randolph Beazer	Stub
288	Studiation Brown	Stub
289	Colin O'Neil Browne	Stub
290	James Carlisle	C
291	Gail Christian	Start
292	Osbert Richard Frederick	Start
293	William Haynes-Smith	C
294	Tim Hector	C
295	Cheryl Mary Clare Hurst	Stub
296	Wilfred Jacobs	Stub
297	Harold Lovell	Start
298	John Lyons (Antiguan politician)	C
299	Edmond Mansoor	Stub
300	Joanne Massiah	Stub
301	Melford Walter Nicholas	Start
302	Bernard Percival	Stub
303	Alincia Williams-Grant	Start
304	Joaquín Samuel de Anchorena	Start
305	Juan Agustín Augier	Stub
306	Uladislao Augier	Stub
307	Joaquín Belgrano	Start
308	Antonio Bermejo	Start
309	Antonio Beruti	Start
310	Héctor Bidonde	Start
311	Silvano Bores	Stub
312	Pedro Braillard Poccard	Stub
313	Exequiel Bustillo	Stub
314	Mario Cafiero	Stub
315	Alberto Manuel Campos	Start
316	Alejo Castex	C
317	Dámaso Centeno	Stub
318	Carlos Corach	Stub
319	Jorge Coscia	Stub
320	Juan Carlos Del Bello	Stub
321	Luis L. Domínguez	C
322	Máximo Etchecopar	Start
323	Héctor Toty Flores	Stub
324	Juan Fugl	Stub
325	Santiago Gallo	Start
326	Manuel José García	Stub
327	Juan José Gómez Centurión	Stub
328	Luis Carlos Gómez Centurión	Stub
329	Martín Guzmán	C
330	Federico Helguera	Start
331	Fernando Iglesias (Argentine politician)	C
332	Ricardo Kennedy	Stub
333	Carlos Kunkel	Stub
334	Norberto La Porta	Stub
335	Andrés Larroque	Start
336	Julián de Leyva	Stub
337	Mónica López (politician)	Stub
338	Lucio Victorio Mansilla	Start
339	Nicolás Massot	Start
340	Juan Mignaburu	Stub
341	Guillermo Montenegro	Stub
342	Mariano Moreno	B
343	Marcelo Muniagurria	Stub
344	Fernando Nadra	C
345	Rómulo Sebastián Naón	Start
346	Santiago G. O'Farrell	Start
347	Miguel Ángel Pesce	Start
348	Carlos Petroni	C
349	Alejo Peyret	B
350	Aldo Pignanelli	Stub
351	Enrique S. Quintana	Start
352	Amán Rawson	Start
353	Martín Sabbatella	C
354	Juan Pablo Schiavi	C
355	Héctor Tizón	Start
356	Claudio Uberti	C
357	Arístides Villanueva	Start
358	Artashes Abeghyan	Start
