	name	ores_score
3611	Shamsha Berkimbayeva	Stub
3612	Serıkqali Brekeşev	Start
3613	Torokul Dzhanuzakov	C
3614	Mels Eleusizov	Start
3615	Nygmetjan Esengarin	Start
3616	Jağda Babylyqūly	Start
3617	Rauan Kenzhekhanuly	Start
3618	Oralbeg Abdu Kerimovic	Stub
3619	Altai Kölgınov	Start
3620	Azat Köşekov	Stub
3621	Vladimir Kozlov (politician)	C
3622	Krymbek Kusherbayev	GA
3623	Vitaly Mette	Start
3624	Rashid Nugmanov	Start
3625	Nygmet Nurmakov	Stub
3626	Birjan Nurymbetov	Start
3627	Azat Peruashev	Start
3628	Ashat Raqymjanov	Stub
3629	Turar Ryskulov	Start
3630	Bekbol Sagyn	Start
3631	Marat Sarsembaev	C
3632	Jambulat Sarsenov	C
3633	Daulet Sembaev	C
3634	Amangeldy Shabdarbayev	Start
3635	Adil Shayakhmetov	Stub
3636	Umut Shayakhmetova	Start
3637	Serik Sultangali	Start
3638	Abai Tasbolatov	Start
3639	Baltash Tursymbaev	Stub
3640	Kuanyshbek Yessekeev	Start
3641	Zhanat Suleimenov	Stub
3642	Abdilatif Abdalla	Start
3643	Roslyne Akombe	C
3644	Dennis Akumu	C
3645	Jane Anyango	Start
3646	Phoebe Asiyo	Start
3647	Francis Atwoli	Start
3648	Agnes Awuor	Stub
3649	James Beauttah	Stub
3650	Willy Bett	Stub
3651	Simon Chelugui	Stub
3652	Chelule Liza	Stub
3653	Reuben Chesire	Stub
3654	Davis Chirchir	Stub
3655	Joyce Emanikor	Stub
3656	Joseph Hellon	Start
3657	Ibrahim Ali Hussein	Stub
3658	Polycarp Igathe	C
3659	Mutea Iringo	Stub
3660	Gitonga Kabugi	Stub
3661	Muriithi Kagai	Stub
3662	Gerald Nathaniel Kalya	Start
3663	Kingwa Kamencu	Start
3664	Ukur Yatani Kanacho	GA
3665	Irungu Kang'ata	C
3666	Phares Oluoch Kanindo	Start
3667	Daniel Karaba	Start
3668	Farida Karoney	Start
3669	Charles Karuga Koinange	Start
3670	Eric Edward Khasakhala	C
3671	Crispus Makau Kiamba	Start
3672	Kennedy Kiliku	Stub
3673	Death of Mutula Kilonzo	C
3674	Francis Kimemia	Stub
3675	Kithure A. Kindiki	Start
3676	Hosea Kiplagat	Start
3677	Kiptarus Arap Kirior	Stub
3678	Samuel Kivuitu	Stub
3679	Margaret Kobia	C
3680	Willy Komen (politician)	Start
3681	Sara Korere	Start
3682	Nixon Kiprotich Korir	Start
3683	Kipsengeret Koros	Stub
3684	Davidson Ngibuini Kuguru	Stub
3685	Olekina Ledama	Start
3686	Augustine Lotodo	Stub
3687	Ciokaraine M'Barungu	Start
3688	Cleopa Kilonzo Mailu	Start
3689	Betty Maina	Stub
3690	Richard Makenga	Stub
3691	Maurice S. Makhanu	Stub
3692	Marere wa Mwachai	Start
3693	Sylvanus Maritim	Stub
3694	Mark Lomunokol	Stub
3695	Jael Mbogo	Stub
3696	Kinuthia Mbugua	Start
3697	Julius Kibiwott Melly	Stub
3698	Kibiwott Munge	Stub
3699	Kinuthia Murugu	Start
3700	Amram Musungu	Start
3701	Chelagat Mutai	Start
3702	Francis Muthaura	Start
3703	Kassim Mwamzandi	Stub
3704	John Harun Mwau	C
3705	Anne Kananu	Start
3706	Gunga Mwinga	Stub
3707	Gideon Mwiti	Stub
3708	Tiras Nyingi Ngahu	Stub
3709	Onesmas Ngunjiri	Stub
3710	Gitau wa Njenga	Start
3711	James Njiru	Stub
3712	Stanley Nyagah	Start
3713	Ndindi Nyoro	C
3714	Malik Obama	C
3715	Ahmed Abdi Ogle	Stub
3716	Moses ole Sakuda	Stub
3717	William Odongo Omamo	C
3718	Elijah Omolo Agar	Stub
3719	Ruth Oniang'o	C
3720	John Owino	Start
3721	Joshua Aduma Owuor	Stub
3722	Ali Roba	Start
3723	Wesley K. Rono	Stub
3724	Ibrahim A. Saney	Stub
3725	Kimaiyo Sego	C
3726	Cornelly Serem	Stub
3727	Lawrence Sifuna	Stub
3728	Elijah K. Sumbeiywo	Stub
3729	Harry Thuku	C
3730	Quincy Timberlake	B
3731	Lilian Tomitom	Stub
3732	Tecla Tum	Stub
3733	Benedict Wachira	Start
3734	Machel Waikenda	C
3735	Nzioka Waita	GA
3736	Judi Wakhungu	Start
3737	Emmanuel Wangwe	Stub
3738	Hassan Wario	Start
3739	Choe Won-taek	Start
3740	Han Kil-son	Stub
3741	Ho Ka-i	GA
3742	Kim Jo-guk	Stub
3743	Jo Yon-jun	Stub
3744	Jon Hui-jong	Stub
3745	Jong Chun-sil	B
3746	Kang Hyong-bong	Stub
3747	Kang Ki-sop	Stub
3748	Kang Kwan-il	Stub
3749	Kang Kwan-ju	Start
3750	Kang Min-chol	Start
3751	Kang Mun-sok	Start
3752	Kang Nung-su	C
3753	Kang Phyo-yong	Stub
3754	Kang Tong-yun	C
3755	Kang Yong-sop	Start
3756	Kim Chon-hae	Start
3757	Kim Il-chol	Start
3758	Kim Pong-chol	Start
3759	Kim Rak-gyom	Start
3760	Kim Ung	Start
3761	Kim Yong-ju	C
3762	O Sang-hon	Stub
3763	Pak Chun-hwa	Stub
3764	Pak Myong-chol	Start
3765	Pak Yong-il	Stub
3766	Pak Yong-sun (politician)	B
3767	Ri Hi-yong	Stub
3768	Ri Man-gon	Start
3769	Ri Pyong-chol	Start
3770	Ri Yong-mu	Start
3771	Kang Sun-nam	Start
3772	Sung Jusik	Stub
3773	Yang Bin (businessman)	Start
3774	Yun Jong-rin	Stub
3775	An Kyung-duk	Start
3776	Cha Myong-jin	GA
3777	Chang Sŏng-man	C
3778	Chang Jung-sook	C
3779	Cho Hyun-ok	Start
3780	Cho Soon	Stub
3781	Choi Bae-geun	C
3782	Choi Gyung-hwan	C
3783	Choi Hye-young	C
3784	Choi Jae-hyung	GA
3785	Choi Jong-won	C
3786	Choi Sae-hwang	Start
3787	Chun Yung-woo	Stub
3788	Chung Chil-sung	Start
3789	Chung Jin-suk (politician)	GA
3790	Chung Woo-taik	GA
3791	Chung Woon-chun	GA
3792	Ha Tae-keung	C
3793	Han Sun-kyo	GA
3794	Hong Moon-jong	Start
3795	Hong Sook-ja	Start
3796	Hwang Young-cheul	Start
3797	Hwangbo Seung-hee	C
3798	Jang Kyung-tae	C
3799	Jang Sung-min	Start
3800	Jang Tae-wan	Stub
3801	Jee Man-won	Stub
3802	Jeon Kwang-hoon	GA
3803	Jeong Seung-hwa	C
3804	Kang Yong-suk	C
3805	Kim Choong-soo	C
3806	Kim Eun-hye (politician)	GA
3807	Kim Han-jung	C
3808	Kim Hyung-shik	C
3809	Kim Jae-yeon (politician)	GA
3810	Kim Jong-hoe	Start
3811	Kim Jong-hwan (military officer)	Stub
3812	Kim Joon-kyo	C
3813	Kim Jung-hwa (politician)	Start
3814	Kim Nam-kuk	C
3815	Kim Se-jin (politician)	Stub
3816	Kim Seon-dong (politician, born 1967)	Start
3817	Kim Woong	C
3818	Kim Yong-hwan (activist)	C
3819	Kim Young-bae (politician, born 1967)	C
3820	Yun-Tae Kim	Start
3821	Koo Yun-cheol	C
3822	Kwak Sang-hoon	Stub
3823	Kweon Seong-dong	C
3824	Lee Baek-yun	Start
3825	Lee Cha-su	Stub
3826	Lee Chul-woo	Stub
3827	Lee In-je	Start
3828	Lee Keun-shik	Start
3829	Lee Sang-kyu	GA
3830	Lee Su-jin (politician)	C
3831	Lee Tae-bok	Stub
3832	Min Jong-gi	Stub
3833	Moon Sung-hyun	Stub
3834	Moon Sung-keun	C
3835	Noh Hyeong-ouk	C
3836	Oh Shin-hwan	GA
3837	Pak Tongjin	Stub
3838	Park Jong-sun	Stub
3839	Park Joo-hyun (politician)	Start
3840	Park Ju-won (politician)	Start
3841	Park Jun-young (government official, born 1967)	Start
3842	Park Kwang-on	C
3843	Park Myung-keun	Start
3844	Park Seung	C
3845	Seonu Hwi	Start
3846	Shin Jeong-yil	C
3847	Shin Seong-il	C
3848	Song Ja	Start
3849	Song Ki-seok	Start
3850	Woo Hee-jong	Stub
3851	Woo Sang-ho (politician)	GA
3852	Yeo Sang-kyoo	C
3853	Yun Chi-chang	Stub
3854	Yun Hee-suk	C
3855	Yun Ho-jung	GA
3856	Yun Il-seon	Start
3857	Yun So-ha	Start
3858	Yun Young-sun (minister)	Stub
3859	Bak Gyusu	C
3860	Bak Jeongyang	Start
3861	Chang Deok-soo	Stub
3862	Cho Bong-am	Start
3863	Cho Man-sik	GA
3864	Choe Bu	FA
3865	Choe Yun-ui	Start
3866	Chough Pyung-ok	C
3867	Gwon Sang-ha	Stub
3868	Han Eum	Start
3869	Heo Jeok	Start
3870	Hong Jung-wook	C
3871	Hong U-won	Stub
3872	Hwang Gi-cheon	Stub
3873	Isabu	Start
3874	Jang Hyeongwang	Stub
3875	Jeong Cheol	C
3876	Jeong Hyeon-mo	Stub
3877	Jeong Nan-jeong	Start
3878	Jo So-ang	Start
3879	Kim Gu	C
3880	Kim Kyu-sik	C
3881	Kim Man-jung	C
3882	Kim Ok-gyun	C
3883	Kim Sung-joo (politician, born 1964)	C
3884	Kim Yuk	C
3885	Lee Hoe-yeong	Start
3886	Lee Kyu-wan	Start
3887	Lim Heon-yong	Stub
3888	Min Won-sik	C
3889	Min Yeong-chan	Start
3890	Myeongnim Dap-bu	Start
3891	No Choe	Start
3892	No In	Start
3893	Oh Se-jung	Start
3894	Ok Kwan-bin	Stub
3895	Park Eun-sik	Start
3896	Park Won-jong	C
3897	Sam of Gojoseon	Stub
3898	Seo Jae-chang	Start
3899	Seo Yu-gu	C
3900	Shim Soon-taek	Start
3901	Shin Gyu-sik	Stub
3902	Soh Jaipil	C
3903	Song Byeong-jun	Start
3904	Song Ikpil	Stub
3905	Song In	Start
3906	Song Jin-woo (journalist)	Stub
3907	Ye Wanyong	C
3908	Yeom Dong-jin	Stub
3909	Yeon Namsan	Stub
3910	Yi Dong-hwi	Stub
3911	Yi Gwangsu	C
3912	Yi Ja-gyeom	Start
3913	Yi Jehyeon	C
3914	Yi Ryang	Start
3915	Yi Si-yeong	Start
3916	Yu Chin-san	Start
3917	Yu Kil-chun	Start
3918	Yu Sun-jeong	Stub
3919	Yun Chi-ho	C
3920	Yun Chi-oh	Stub
3921	Yun Chi-wang	C
3922	Yun Doo-su	C
3923	Yun Im	C
3924	Yun Ung-nyeol	Start
3925	Yun Won-hyeong	C
3926	Yun Yeong-ryeol	Start
3927	Ali Aliu	Start
3928	Sejdo Bajramović	Start
3929	Hamza Balje	Stub
3930	Bekim Çollaku	Start
3931	Veli Deva	Stub
3932	Bajram Gecaj	Start
3933	Getoar Mjeku	GA
3934	Mulla Idriz Gjilani	Start
3935	Bajram Hasani	Stub
3936	Adem Hodža	Start
3937	Adrijana Hodžić	Start
3938	Oliver Ivanović	C
3939	Ragip Jashari	Stub
3940	Elbert Krasniqi	Start
3941	Rrahman Morina	Start
3942	Hasan Prishtina	C
3943	Gazmend Pula	Stub
3944	Goran Rakić	C
3945	Nenad Rašić	Stub
3946	Selim Selimi	Stub
3947	Igor Simić	Start
3948	Rexhai Surroi	Start
3949	Rada Trajković	Start
3950	Abdulghaphor Hajjieh	C
3951	Alaa Hussein Ali	Start
3952	Ali Hussain Al-Awadhi	Start
3953	Saad Bin Tefla	Stub
3954	Haitham al-Ghais	Stub
3955	Ali Mohammed Thunayan Al-Ghanim	Start
3956	Hamad Al-Midlij	Stub
3957	Ibrahim Al-Mudhaf	Stub
3958	Abdullah Al-Nibari	Stub
3959	Salem Al-Ali Al-Sabah	C
3960	Mubarak Al-Zwair	Stub
3961	Arstanbek Abdyldayev	Start
3962	Akbaraly Aitikeev	Stub
3963	Bermet Akayeva	Start
3964	Maxim Bakiyev	C
3965	Janish Bakiyev	Start
3966	Uran Botobekov	C
3967	Bayaman Erkinbayev	Start
3968	Kanybek Isakov	Start
3969	Sadyr Japarov	GA
3970	Maksat Kunakunov	Start
3971	German Kuznetsov	Stub
3972	Adakhan Madumarov	Start
3973	Raimbek Matraimov	C
3974	Nurlan Motuev	Stub
3975	Jengishbek Nazaraliev	Start
3976	Kanat Sadykov	Stub
3977	Medet Sadyrkulov	Stub
3978	Dastan Sarygulov	Start
3979	Zhusupbek Sharipov	Stub
3980	Sadyk Sher-Niyaz	Start
3981	Kamchybek Tashiev	Start
3982	Maryam Tugambayeva	Stub
3983	Kham Ouane Boupha	C
3984	Sisouk na Champassak	Stub
3985	Zong Zoua Her	Stub
3986	Faydang Lobliayao	Start
3987	Salath Rasasack	Start
3988	Khamphoui Sisavatdy	Stub
3989	Beness Aijo	C
3990	Ojārs Ēriks Kalniņš	C
3991	Vilhelms Munters	C
3992	Andrievs Niedra	Start
3993	Voldemārs Ozols	Stub
3994	Pēteris Pētersons	Stub
3995	Pavels Rebenoks	Start
3996	Krišjānis Valdemārs	Start
3997	Jānis Vitenbergs	Start
3998	Marwan Abboud	Stub
3999	Ibrahim al-Abdallah	Stub
4000	Abdulhamid Al-Rafi’i	Start
4001	Massoud Achkar	Stub
4002	Anwar al-Fatayri	Start
4003	Shakib Arslan	C
4004	Ahmed Kamel Asaad	Stub
4005	Asmar Asmar	Stub
4006	Hanna Atik	C
4007	Mahmoud Awad	Stub
4008	Jean Aziz	C
4009	As'ad Adib Bayudh	Stub
4010	Emile Bustani	Start
4011	Nicolas Chammas	Start
4012	Henri Chedid	Stub
4013	Faisal Daoud	Stub
4014	Jad Demian	Stub
4015	Sarkis Dkhrouni	Start
4016	Michel Elefteriades	GA
4017	Inaya Ezzeddine	Stub
4018	Mohammad Hussein Fadlallah	GA
4019	Fakhr Fakhr	Stub
4020	Tony Frangieh Jr.	Start
4021	Nabil de Freige	Stub
4022	Nicolas Ghosn	Stub
4023	Mohammad Al Hajj Hassan	Stub
4024	Wassef El Harakeh	Start
4025	Ziad Hawat	Start
4026	Saadallah Howayek	Start
4027	Mohsen Ibrahim	GA
4028	Gabriel Issa	Start
4029	Nazira Jumblatt	Stub
4030	Violette Khairallah Safadi	Start
4031	Anwar al-Khatib (Lebanon)	Start
4032	Albert Kostanian	Start
4033	Assad Kotaite	Start
4034	Ibrahim Kulaylat	Start
4035	Cesar Maalouf	Stub
4036	Fadi Makki	Start
4037	Chibli Mallat	C
4038	Chadi Massaad	Start
4039	Kayssar Moawad	Stub
4040	Muhammad Jamil Bayyuhum	C
4041	Georges Naccache	Stub
4042	Edmond Naïm	Start
4043	Naoum Labaki	Stub
4044	Chafic Nassif	Stub
4045	Mohamad Osseiran	Stub
4046	Vahan Papazian	Start
4047	Philippe El Khazen	Start
4048	Edmond Rizk	Start
4049	Fady Saad	Stub
4050	Osama Saad	Start
4051	Waddah Sadek	Start
4052	Alice Shabtini	Stub
4053	Abu Youssef Sharqieh	Stub
4054	Joseph Skaff	Start
4055	Myriam Skaff	Start
4056	Maurice Sleem	Stub
4057	Mounira Solh	C
4058	Fares Souaid	Start
4059	Strong Lebanon	Stub
4060	Jean Talouzian	Stub
4061	Imad Wakim	Stub
4062	Amal Abou Zeid	Start
4063	Tsepo Mzonethi	Stub
4064	Maphoka Motoboli	Stub
4065	Keketso Rantso	Stub
4066	Lebohang Thotanyane	Stub
4067	Thomas Nimene Botoe	Stub
4068	Laurence Konmla Bropleh	C
4069	MacDella Cooper	Start
4070	Ellen Corkrum	Start
4071	Alexander B. Cummings Jr.	C
4072	Bernice Dahn	Start
4073	Josiah Johnson (footballer)	Start
4074	Wesley Momo Johnson	Stub
4075	Roland B. Kai	Stub
4076	Boima Kamara	Stub
4077	J. Edwin Lloyd	Start
4078	Momulu Massaquoi	Start
4079	Nathaniel Varney Massaquoi	Start
4080	Edward B. McClain Jr.	Stub
4081	Eugene Lenn Nagbe	Stub
4082	John Brown Russwurm	C
4083	Clarence Lorenzo Simpson Jr.	C
4084	Jeremiah Sulunteh	Start
4085	Alaric Tokpa	Stub
4086	E. Reginald Townsend	C
4087	Blahsue Vonleh	Stub
4088	Tom Woewiyu	C
4089	Abdullah al-Lafi	Stub
4090	Ahmed Rafiq Almhadoui	Stub
4091	Mohamed Abulasʽad El-ʽAlem	Stub
4092	Abd-Rabbo al-Barassi	Stub
4093	Fathi Bashagha	C
4094	Mohamed Ben Ghalbon	C
4095	Ahmad Bishti	Stub
4096	Abdul Hamid Dbeibeh	C
4097	Ehtuish Ehtuish	Start
4098	Mohamed Eshtewi	C
4099	Ahmed Gaddaf al-Dam	C
4100	Hisham Ben Ghalbon	C
4101	Khalifa Haftar	FA
4102	El Waer Hakim	Start
4103	Ibrahim Jadhran	Start
4104	Leila bin Khalifa	Start
4105	Al-Aref al-Khoga	Stub
4106	Musa Al-Koni	Stub
4107	Mohamed al-Menfi	Start
4108	Abd al-Mawla Naqi	Stub
4109	Abdullah Naker	Start
4110	Aref Ali Nayed	C
4111	Abdel Wahab Qaid	Start
4112	Ali Sahli	Start
4113	Bashir Saadawi	Stub
4114	Fayez al-Sarraj	GA
4115	Mohammed El Senussi	C
4116	Abdulrahman Sewehli	Stub
4117	Ashour Suleiman Shuwail	Start
4118	Mohamed Taha Siala	Start
4119	Alfons Goop	Stub
4120	Peter Kaiser (historian)	Start
4121	Aleksandras Ambrazevičius	Stub
4122	Leonas Apšega	Stub
4123	Mykolas Arlauskas	Stub
4124	Rimantas Astrauskas	Stub
4125	Adomas Ąžuolas Audickas	Stub
4126	Edminas Bagdonas	Stub
4127	Zbignev Balcevič	Stub
4128	Vilius Baldišis	Stub
4129	Vladimiras Beriozovas	Stub
4130	Kazys Boruta	Stub
4131	Dalius Čekuolis	Start
4132	Virgilijus Čepaitis	Start
4133	Jan Ciechanowicz	Start
4134	Audra Dagelytė	Start
4135	Juozas Gabrys	C
4136	Balys Gajauskas	Stub
4137	Bronislovas Genzelis	Stub
4138	Eimantas Grakauskas	Stub
4139	Kęstutis Grinius	Stub
4140	Šarūnas Gustainis	Stub
4141	Gintautas Iešmantas	Stub
4142	Stanislovas Gediminas Ilgūnas	Stub
4143	Martynas Jankus	C
4144	Albinas Januška	Stub
4145	Jurgis Jurgelis	Stub
4146	Antanas Karoblis	Stub
4147	Juozas Karvelis	Stub
4148	Vytautas Kolesnikovas	Stub
4149	Szymon Konarski	C
4150	Stasys Kropas	Stub
4151	Petras Kubiliūnas	GA
4152	Česlovas Kudaba	Stub
4153	Algirdas Kumža	Stub
4154	Dalia Kuodytė	Stub
4155	Bronius Kuzmickas	Stub
4156	Jonas Liaučius	Stub
4157	Zita Loseva	Stub
4158	Stasys Lozoraitis (junior)	Stub
4159	Jonas Mačys	Stub
4160	Mykolas Majauskas	C
4161	Vytautas Matulevičius	Start
4162	Deividas Matulionis	Start
4163	Darius Mažintas	Start
4164	Visvaldas Mažonas	Start
4165	Albertas Miškinis	Stub
4166	Donatas Morkūnas	Stub
4167	Mindaugas Murza	GA
4168	Algimantas Norvilas	Stub
4169	Grzegorz Antoni Ogiński	Start
4170	Vytautas Paliūnas	Stub
4171	Rolandas Paulauskas	Stub
4172	Eugenijus Petrovas	Stub
4173	Virginijus Pikturna	Stub
4174	Petras Poškus	Stub
4175	Vidmantas Povilionis	Stub
4176	Antanas Purėnas	Stub
4177	Liudvikas Narcizas Rasimavičius	Stub
4178	Liudvikas Saulius Razma	Stub
4179	Kęstutis Rimkus	Stub
4180	Romualdas Rudzys	Stub
4181	Valerijonas Šadreika	Stub
4182	Kazimieras Saja	Stub
4183	Józef Sapieha	Stub
4184	Gediminas Šerkšnys	Stub
4185	Liudvikas Simutis	Stub
4186	Jonas Tamulis	Stub
4187	Vladas Terleckas	Stub
4188	Zigmas Vaišvila	Stub
4189	Rimvydas Valatka	Stub
4190	Birutė Valionytė	Stub
4191	Povilas Varanauskas	Stub
4192	Iosif Vareikis	C
4193	Eduardas Vilkas	Stub
4194	Povilas Višinskis	FA
4195	Alfonsas Žalys	Stub
4196	Nicolas Biever	Start
4197	René Blum (politician)	Stub
4198	Dominique Brasseur	Start
4199	Xavier Brasseur	Start
4200	Jean-Pierre Büchler	Stub
4201	Corinne Cahen	Stub
4202	Sven Clement	Start
4203	Émile Colling	Stub
4204	Lex Delles	Stub
4205	Carole Dieschbourg	Start
4206	Norbert Dumont	Stub
4207	Paul Elvinger	Stub
4208	Frank Engel (politician)	C
4209	Jean Ersfeld	Start
4210	Johannes Olav Fallize	C
4211	Marc Hansen (politician)	Stub
4212	Aloyse Hentgen	Start
4213	Dan Kersch	Stub
4214	Fred Keup	Start
4215	Guillaume Konsbruck	Start
4216	Damian Kratzenberg	Start
4217	Pierre Krier	Stub
4218	Léon de la Fontaine	Start
4219	Andy Maar	Start
4220	Norbert Metz	Start
4221	Maggy Nagel	Stub
4222	Camille Ney	Stub
4223	Alphonse Osch	Stub
4224	Roy Reding	C
4225	Émile Schaus	Start
4226	Meris Šehović	Start
4227	Émile Servais	Start
4228	Joe Thein	C
4229	Jean Ulveling	Start
4230	Dominique Urbany	Stub
4231	René Urbany	Stub
4232	Jup Weber	Stub
4233	Augustin Andriamananoro	C
4234	Andriamihaja	Start
4235	Gilbert Annette	Stub
4236	Azaly Ben Marofo	Stub
4237	Laurent Botokeky	Stub
4238	Monja Jaona	C
4239	Ralijaona Laingo	Stub
4240	Lucien Xavier Michel-Andrianarahinjaka	C
4241	Jacques Rabemananjara	C
4242	Césaire Rabenoro	Stub
4243	Bruno Rajaonson	Stub
4244	Patrick Rajoelina	Stub
4245	Jean Ralaimongo	C
4246	Pierre Ramampy	Stub
4247	Hyppolite Ramaroson	C
4248	Nadine Ramaroson	Start
4249	Jonah Ranaivo	Stub
4250	Mamy Ranaivoniarivo	Stub
4251	Michel Randria	Start
4252	Marcel Ranjeva	Stub
4253	Roseline Emma Rasolovoahangy	C
4254	Ratsitatanina	Stub
4255	Lalao Ravalomanana	Start
4256	Mahasumpo Raveloson	Stub
4257	Benja Razafimahaleo	Start
4258	Honoré N. Razafindramiandra	C
4259	Andre Resampa	Start
4260	Christian Rémi Richard	Stub
4261	Albert Sylla	Start
4262	Norbert Zafimahova	Stub
4263	Attati Mpakati	Stub
4264	Albert Muwalo	C
4265	Cornelius Mwalwanda	Start
4266	Kingsely Namakhwa	Stub
4267	Mary Shawa	Start
4268	James John Skinner	C
4269	Michael Usi	Start
4270	Abang Haji Abdillah	Start
4271	Abdul Ghani Mohamed Yassin	Start
4272	Abdul Manaf Hashim	Start
4273	Abdullah CD	Start
4274	Abu Samah Mohd Kassim	Stub
4275	Ahmad Johnie Zawawi	Start
4276	Ahmad Zaidi Adruce	C
4277	Kontik Kamariah Ahmad	Start
4278	Zainal Abidin Ahmad (writer)	C
4279	Aidi Moktar	Start
4280	Aliasgar Basri	C
4281	Abdul Rahman Andak	C
4282	Arifin Asgali	Start
4283	Assaffal P. Alian	Start
4284	Awang Tengah Ali Hasan	Start
4285	Aznel Ibrahim	Start
4286	R. G. Balan	Stub
4287	Abdul Aziz bin Husain	C
4288	Chai Kim Sen	Start
4289	Chen Tien	Stub
4290	Chin Peng	FA
4291	Chong Ted Tsiung	Stub
4292	Chong Zhemin	Stub
4293	Lily Eberwein	C
4294	Ellron Alfred Angin	Start
4295	Eu Chooi Yip	C
4296	Shamsiah Fakeh	C
4297	Fong Chong Pik	Stub
4298	Ghulamhaidar Khan	Start
4299	Gopalakrishnan Subramaniam	Stub
4300	Guan Dee Koh Hoi	C
4301	Joachim Gunsalam	Start
4302	Hajiji Noor	C
4303	Najwan Halimi	C
4304	Hamisa Samat	Start
4305	Heah Joo Seang	C
4306	Hii King Chiong	Start
4307	Akmar Hisham	C
4308	Hishamuddin Rais	Start
4309	Hasnoor Hussein	C
4310	Ishak Haji Muhammad	C
4311	Rozman Isli	Start
4312	Mazlan Ismail	C
4313	Ahmad Kamil Jaafar	Start
4314	Jefridin Atan	Start
4315	John Ambrose (politician)	Stub
4316	Kassim Ahmad	C
4317	Keshvinder Singh	Stub
4318	Devaki Krishnan	C
4319	Jennifer Lasimbang	Start
4320	Lau Pak Khuan	Start
4321	Lau Yew	Stub
4322	Azlan Mohd Lazim	Start
4323	Lee Kiat Lee	C
4324	Philip Lee Tau Sang	Stub
4325	Lim Siew Khim	Stub
4326	Lim Ban Hong	C
4327	Oscar Ling	Stub
4328	Liou Chen Kuang	Start
4329	Lukanisman Awang Sauni	Stub
4330	Rashid Maidin	C
4331	Masidi Manjun	C
4332	Masiung Banah	Start
4333	N.K. Menon	Start
4334	Mohamad Fazli Mohamad Salleh	Stub
4335	Mohamad Noor Dawoo	Stub
4336	Mohamad Zaim Abu Hassan	Start
4337	Mohamad Zuraimi Razali	Stub
4338	Mohd Osman Mohd Jailu	Stub
4339	John Victor Morais	Stub
4340	Muhammad Faiz Fadzil	Start
4341	Muhd Fadhil Nuruddin	Start
4342	Muis Picho	Start
4343	Ng Lam Hua	Start
4344	Khairin Nisa	Stub
4345	Ong Kow Meng	Stub
4346	Samsudin Osman	Start
4347	K. Pathmanaban	Start
4348	Peter Anthony	Start
4349	Mamad Puteh	Start
4350	Ras Adiba Radzi	Stub
4351	Raja Ahmad Zainuddin Raja Omar	Start
4352	Rasinin Kautis	Start
4353	Razali Idris	Stub
4354	Ronnie Liu Tian Khiew	C
4355	Abang Muhammad Salahuddin	C
4356	Jaujan Sambakong	Start
4357	Sarifuddin Hata	Start
4358	Sedomon Gunsanad Kina	C
4359	See Chee How	Start
4360	Ajis Sitin	Stub
4361	Murugesan Sinnandavar	C
4362	Hashim Suboh	Start
4363	Abdul Rahman Sulaiman	Stub
4364	Arunarsin Taib	Start
4365	Tan Keng Liang	Start
4366	Nathaniel Tan	C
4367	Lai Teck	C
4368	Kamarulzaman Teh	Start
4369	Teng Chang Yeow	GA
4370	Jason Teoh	Start
4371	R.S. Thanenthiran	Start
4372	Uda Sulai	Start
4373	Sukarti Wakiman	Start
4374	Wan Mohamed Wan Teh	Start
4375	Wan Rosdy Wan Ismail	C
4376	Wilson Ugak Kumbong	Stub
4377	Eli Wong	Stub
4378	Ibrahim Yaacob	Start
4379	Ismail Yaacob	Stub
4380	Loke Yuen Yow	Start
4381	Yusnan Yusof	Start
4382	Ahmed Adeeb	C
4383	Ilham Ahmed	Stub
4384	Ahmed Shiaan	Stub
4385	Mohamed Asim	Start
4386	Ahmed Faris Maumoon	Start
4387	Abdulla Jihad	Start
4388	Abdul Majeed Mahir	Start
4389	Ahmed Mahloof	C
4390	Reeko Moosa Manik	Start
4391	Abdulla Maseeh Mohamed	Start
4392	Mohamed Ashmalee	C
4393	Sharif Mohamed	C
4394	Aishath Nahula	Stub
4395	Faisal Naseem	Start
4396	Nazra Naseem	Stub
4397	Abdulla Shahid	C
4398	Shidhatha Shareef	Stub
4399	Mohammed Waheed Deen	Stub
4400	Umar Zahir (politician)	C
4401	Muad Mohamed Zaki	Start
4402	Moosa Zameer	Stub
4403	Zahiya Zareer	Start
4404	Alwata Ichata Sahi	Stub
4405	Sangaré Niamoto Ba	Stub
4406	Siby Ginette Bellegarde	Stub
4407	Cheick Bougadary Traoré	Stub
4408	Dramane Dembélé	Start
4409	Hamadoun Dicko	Stub
4410	Mamadou Djigué	Stub
4411	Amadou Doucoure	Stub
4412	Ly Taher Dravé	Stub
4413	Diabaté Fatoumata Guindo	Stub
4414	Mahamane Haidara	Stub
4415	Jamille Bittar	Stub
4416	Mamadou Konaté	Stub
4417	Garan Fabou Kouyate	Start
4418	Mamadou M'Bodje	Stub
4419	Achérif Ag Mohamed	Stub
4420	Zeïni Moulaye	Stub
4421	N'Diaye Ramatoulaye Diallo	C
4422	Yeah Samake	C
4423	Foutanga Babani Sissoko	Start
4424	Ousmane Sy	Start
4425	Amadou Toumani Touré	GA
4426	Demba Traoré (politician)	Start
4427	Salimata Traoré	Stub
4428	Ismaël Wagué	Stub
4429	Anthony Borg Barthet	Start
4430	Leo Brincat	Start
4431	Clyde Caruana	Start
